"Month Year","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Driving Causing Death","Manslaughter Unlawful Striking Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
DEC15,0.12558365,0.2093060834,0.1046530417,0,0,0.0837224333,0.0209306083,36.021576946,1.8000323169,17.267751877,5.4628887756,11.490903976,10.883916334,2.5953954336,8.2885209009,1.9046853585,1.0465304168,0.8581549418,5.1698602589,0.6488488584,0.0837224333,0.9000161584,3.5372728087,54.314928631,56.533573114,37.758817437,36.586703371,1.1721140668,2.0511996169,16.72355606,2.0930608336,58.689425773,16.807278493,175.41942846,15.258413477,37.340205271,38.616972379,84.203837334,43.975208113,0.6069876417,0.3348897334,22.856224302,1.6535180585,18.523588377,10.904846943,5.2117214756,0.6697794667,4.9396235672,0.0837224333,364.42282173,160.66334958,1.2767671085,69.594272716,4.5000807921,12.07696101,73.215267958,0.439542775,0.2093060834,0.0418612167,0.0837224333,0.0418612167,0,0,0,0.062791825,9.5234267927,0,44.77057123,11.428112151,11.679279451,0.4814039917,1.1511834585,0.0209306083,4.1861216671,5.8396397256,112.06247703,1.7581711002,51.468365897,8.5396882009,50.29625183,0.8162937251,85.229437142,3.4744809837,58.166160565,23.526003769,0.062791825,9.544357401,446.15684728
JAN16,0.0619175621,0.2476702485,0.165113499,0,0,0.0412783748,0.0412783748,36.799671094,3.8388888522,16.346236403,5.5313022171,11.083243622,10.402150438,3.3229091678,7.0792412704,2.1258362999,1.0732377436,1.0525985562,4.6850955347,0.4540621223,0.0412783748,0.8462066825,3.3435483551,54.322341177,54.095310116,34.013380798,32.589276869,1.424103929,2.2496714241,17.832257894,2.3735065484,61.649252696,16.882855275,172.5023281,17.068607961,33.786349737,37.914187212,83.73318319,54.962155986,0.4953404971,0.3508661854,22.145848056,1.3002688048,30.669832443,8.1937573888,3.611857791,0.5985364339,3.9008064143,0.0825567495,370.65916611,149.65474767,0.6810931835,65.261110487,3.3435483551,9.8655315664,70.503464081,0.0206391874,0.0206391874,0,0,0,0,0,0,0,9.3082735072,0,44.085304238,10.897490935,11.578584119,0.2476702485,1.4860214912,0.0412783748,4.1897550376,5.6138589667,114.96027369,2.0845579251,53.249103434,9.1637991956,50.462813138,0.5985364339,87.530793668,3.2609916056,61.112633824,23.095250675,0.0619175621,7.1824372073,435.81708066
FEB16,0.0412783748,0.1238351243,0.0412783748,0.0206391874,0.0206391874,0.0412783748,0,40.143219449,1.1970728679,18.802299701,5.8408900278,14.302956853,11.496027369,2.8482078581,8.6478195111,2.3115889863,1.093876931,1.2177120553,6.1504778385,0.3715053728,0.0206391874,1.0525985562,4.705734722,60.266427142,54.239784428,32.444802557,31.206451315,1.2383512426,2.4767024853,19.318279385,2.0432795504,59.33766371,17.605226833,175.94907239,14.963410849,35.004061792,42.908870558,83.072729194,40.328972135,0.3715053728,0.3715053728,19.648506383,3.0752389192,16.862216087,9.1225208208,4.0865591007,0.8462066825,4.0040023512,0.1857526864,358.62651987,138.75725674,1.3002688048,61.876283757,3.9627239765,5.0566009075,66.561379292,0.1238351243,0.0412783748,0,0,0.0412783748,0,0,0.0206391874,0.0206391874,8.4620668247,0,42.723117871,9.9274491285,12.053285428,0.165113499,1.3415471795,0.0619175621,3.6944145406,6.7902926472,101.58608027,1.6511349902,45.550686542,10.443428813,43.940829926,0.928763432,74.177239434,2.3941457358,52.031391378,19.669145571,0.0825567495,10.07192344,398.81101769
MAR16,0.1238351243,0.1031959369,0.0825567495,0,0,0.0206391874,0,38.554002021,1.2177120553,18.905495638,5.3661887181,13.06460561,11.784975992,3.3022699804,8.4827060121,2.6211767969,1.1764336805,1.4447431164,7.0998804578,0.763649933,0.1444743116,1.857526864,4.3342293493,60.287066329,58.904240775,36.490083283,35.561319851,0.928763432,2.7656511086,19.648506383,1.6304958028,58.801044838,18.843578076,192.33658717,15.809617531,39.152538455,48.233780901,89.140650283,38.760393895,0.2889486233,0.9700418067,17.151164711,1.0113201815,19.338918573,10.257676127,4.210394225,0.7430107456,5.0772400948,0.2270310612,379.53401668,149.1181288,0.8668458699,63.135274187,3.7976104774,8.42078845,72.897609817,0.1444743116,0,0,0.0825567495,0.0206391874,0.0206391874,0,0,0.0206391874,8.585901949,0,45.530047355,10.897490935,12.878852923,0.2683094359,1.3415471795,0.0412783748,4.1278374755,7.0998804578,109.5528066,1.8368876766,47.511409343,10.980047685,49.224461895,0.9081242446,79.192561967,3.3641875425,53.558691244,22.228404805,0.0412783748,11.268996308,428.07738539
APR16,0.0825567495,0.0825567495,0.0206391874,0,0,0.0619175621,0,32.981421429,1.25899043,15.58258647,4.1897550376,11.950089492,15.438112158,3.7150537279,11.72305843,2.352867361,1.1557944931,1.1970728679,5.2629927812,0.5572580592,0.1031959369,1.3415471795,3.2609916056,56.200507229,55.209826235,34.281690234,33.332287615,0.9494026194,2.3941457358,18.533990265,2.0845579251,57.500776033,17.646505208,172.81191591,12.940770486,33.043338991,43.548685366,83.279121068,45.550686542,0.6398148087,0.2476702485,19.627867196,1.25899043,23.776343859,9.7210572548,4.2516725997,0.8668458699,4.5199820357,0.0825567495,360.52532511,151.88377991,1.1970728679,65.364306424,2.7656511086,11.207078746,71.349670764,0,0,0,0,0,0,0,0,0,9.8655315664,0,40.287693761,9.9274491285,11.083243622,0.1238351243,1.3002688048,0,3.611857791,6.0472819016,107.40633111,1.7749701145,47.408213406,11.867532742,46.35561485,0.763649933,70.503464081,3.5293010415,46.231779725,20.680465752,0.0619175621,8.4414276374,410.16257075
MAY16,0,0.1857526864,0.1238351243,0,0.0206391874,0.0412783748,0,35.272371228,1.4860214912,16.346236403,5.5932197793,11.846893555,12.569265113,3.2609916056,9.3082735072,2.3941457358,1.2177120553,1.1764336805,6.5013440239,0.4747013097,0.2063918738,0.8255674951,4.9946833453,56.922878787,55.994115355,34.54999967,33.765710549,0.7842891203,2.4560632979,18.988052387,1.9813619882,57.500776033,18.657825389,188.31194563,14.695101413,36.737753532,45.757078416,91.122012271,35.767711725,0.4127837475,0.165113499,19.008691575,4.4580644735,11.72305843,10.07192344,4.0040023512,0.9081242446,5.0772400948,0.0825567495,368.28565956,165.01030308,1.4447431164,69.120638527,3.1577956687,15.231720285,76.055405486,0.1238351243,0,0,0.0825567495,0,0,0,0,0.0412783748,9.4733870062,0,41.505405816,11.991367866,12.239038115,0.2063918738,1.3828255543,0,3.6944145406,6.9554061462,106.08542312,1.424103929,48.976791647,10.670459874,45.01406767,1.3828255543,69.781092523,3.3229091678,45.88091354,20.453434691,0.1238351243,8.8129330102,426.40561122
JUN16,0.0825567495,0.0412783748,0,0,0,0.0412783748,0,33.641875425,1.424103929,15.376194596,4.9121265958,11.929450304,12.177120553,2.7037335464,9.4733870062,2.6211767969,1.25899043,1.3621863669,6.4807048365,0.4953404971,0.1031959369,0.9906809941,4.8914874084,55.044712736,57.748446282,35.623237413,34.838948293,0.7842891203,2.6624551717,19.462753697,1.8988052387,54.549372238,18.781660513,189.11687394,14.014008229,38.71911552,48.625925461,87.757824729,41.62924094,0.8255674951,0.1031959369,18.348237579,1.9194444261,20.432795504,10.629181499,4.3342293493,0.763649933,5.469384655,0.0619175621,374.35358065,137.5189055,0.7017323708,61.649252696,2.8482078581,7.2856331442,65.034079426,0.1031959369,0,0,0.0619175621,0,0,0,0.0206391874,0.0206391874,7.5952209549,0,36.283691409,11.083243622,10.319593689,0.2270310612,1.2796296174,0.0206391874,2.7862902959,6.0060035268,105.03282456,1.4034647417,48.109945777,10.216397752,45.303016293,0.6398148087,64.002120057,3.3022699804,41.340292317,19.297640198,0.0619175621,11.062604434,383.64121497
JUL16,0.0206391874,0.2889486233,0.1857526864,0,0,0.0619175621,0.0412783748,33.043338991,1.093876931,16.635185026,4.8502090337,10.464068,9.2257167577,2.951403795,6.2743129627,2.4973416727,1.6098566154,0.8874850572,6.2949521501,0.5366188718,0.0825567495,1.3415471795,4.3342293493,51.370937382,58.55337459,35.788350912,34.777030731,1.0113201815,2.7450119212,20.020011756,2.0432795504,57.789724657,19.256361823,186.02099583,14.922132474,36.67583597,50.277060451,84.145966938,48.605286274,1.1970728679,0.1444743116,24.312962731,1.6924133649,21.258362999,11.02132606,4.1071982881,1.1351553058,5.6551373414,0.1238351243,383.29034879,168.2506555,1.7130525523,73.145280066,2.6005376096,11.537305744,79.254479529,0.1444743116,0,0,0.0825567495,0,0,0,0.0412783748,0.0206391874,10.608542312,0.0206391874,36.634557595,9.2463559451,13.002688048,0.330226998,1.4034647417,0.0206391874,4.3135901619,6.9347669588,108.52084723,1.7336917397,49.699163205,12.342234052,44.745758234,0.4747013097,83.093368381,4.0865591007,55.725805919,23.260364174,0.0206391874,7.1824372073,437.17926703
AUG16,0.1444743116,0.2270310612,0.1857526864,0,0,0.0412783748,0,36.840949469,1.6511349902,17.151164711,5.8408900278,12.19775974,10.092562628,3.1990740435,6.8934885841,3.3848267299,1.8781660513,1.5066606786,7.4713858306,0.5366188718,0.1238351243,1.1764336805,5.634498154,58.16123003,58.615292152,36.180495473,34.653195607,1.5272998659,2.7450119212,19.689784758,1.7543309271,64.146594369,20.081929318,192.25403042,15.252359472,40.0606627,49.781719954,87.159288295,61.298386511,0.6810931835,0.5985364339,33.972102423,1.7956093018,24.251045168,12.486708363,5.8821684026,0.7430107456,5.7789724657,0.0825567495,410.63727206,190.02499818,1.3209079922,78.016128287,4.1897550376,21.898177807,84.60002906,0.0825567495,0,0,0.0619175621,0,0,0,0,0.0206391874,8.1112006393,0,41.484766629,10.402150438,12.796296174,0.1238351243,1.7543309271,0.0412783748,3.9008064143,6.9760453336,103.0101842,1.5066606786,48.357616025,12.135842178,41.010065319,0.3921445602,84.434915561,3.9420847891,55.374939734,25.076612664,0.0412783748,11.41347062,462.15268375
SEP16,0.0206391874,0.1031959369,0.0619175621,0,0,0.0206391874,0.0206391874,36.304330597,1.1145161184,17.70842277,5.5519414045,11.929450304,11.537305744,3.2403524183,8.2969533257,3.2403524183,1.7749701145,1.4653823038,7.0998804578,0.6604539961,0.2889486233,1.1145161184,5.0359617201,58.305704341,63.382944436,38.017383149,36.758392719,1.25899043,2.9307646076,22.434796679,1.5892174281,64.022759245,20.659826565,189.85988468,13.601224482,36.964784593,48.316337651,90.97753796,45.199820357,0.4953404971,0.4747013097,22.847580427,1.4860214912,19.896176632,10.092562628,4.2723117871,0.7430107456,5.0359617201,0.0412783748,394.80701534,168.93174868,1.8162484892,66.41690498,2.951403795,25.386200474,72.360990945,0.2063918738,0,0,0.1238351243,0,0,0,0.0619175621,0.0206391874,7.9667263277,0,43.342293493,10.918130123,12.156481365,0.2270310612,1.4034647417,0.0412783748,3.7769712901,6.7077358977,104.72323675,1.3621863669,49.26574027,11.475388182,42.619921934,0.5159796844,68.687215592,3.1990740435,45.364933856,20.102568506,0.0206391874,9.4114694441,426.85967334
